#Name,Date,Ra,Dec,RaDeg,DecDeg,AlertMag,HistoricMag,HistoricStdDev,Class,PubDate,Comment,TNSid,K_s,lDeg,bDeg,base_gmag,e_gmag,Catalog,Can,Stat
Gaia21bwe,2021-04-12 16:41:31,20:00:41.34,-16:33:59.83,300.17227,-16.56662,18.82,19.3,0.12,-,2021-04-16 09:03:05,~0.4 mag rise in Gaia source,2021juu,nan,25.23326,-22.57362,19.2919,0.0121,panstarr,-1.0,0.0
Gaia21bvx,2021-04-13 12:24:27,06:48:01.89,41:53:04.45,102.00786,41.88457,18.64,19.0,0.07,-,2021-04-15 15:26:39,0.3 mag slow rise in Gaia and UV source,2021jty,nan,174.09875,17.13244,19.0259,0.0069,panstarr,-1.0,0.0
Gaia21bvl,2021-04-12 10:10:10,14:51:50.51,-57:23:33.11,222.96045,-57.39253,14.5,14.78,0.05,-,2021-04-15 06:39:54,bright  gal.plane source rises by 0.3 mag,2021jst,12.016,318.61944,1.76542,15.861,0.044,APASS,-1.0,0.0
Gaia21bvk,2021-04-12 05:06:03,10:02:08.14,-29:44:53.63,150.53393,-29.74823,18.13,18.62,0.11,-,2021-04-15 06:38:46,"~0.5 mag rise in Gaia, WISE and GALEX source",2021jss,nan,264.40716,20.18343,18.5194,0.0021,panstarr,-1.0,0.0
Gaia21bvi,2021-04-11 11:16:40,18:09:01.77,-38:51:36.18,272.25736,-38.86005,18.3,19.15,0.19,-,2021-04-14 14:40:53,blue  gal.plane source candidate microlensing event rises by 0.8 mag,2021jsd,nan,353.75489,-9.12489,nan,nan,nan,-1.0,0.0
Gaia21bvg,2021-04-11 11:09:35,18:31:24.14,-34:12:05.18,277.85057,-34.20144,15.46,15.77,0.01,-,2021-04-14 07:57:53,~0.3 mag rise in Gaia source,2021jrq,13.312,0.02294,-11.07203,15.728,nan,refcat2,-1.0,0.0
Gaia21bvd,2021-04-11 11:37:19,16:42:47.35,-50:20:41.82,250.69728,-50.34495,16.11,16.98,0.16,-,2021-04-13 20:46:08,~0.7 mag rise in candidate YSO,2021jmu,11.884,335.67527,-2.793,16.945,nan,refcat2,-1.0,0.0
Gaia21bvb,2021-04-11 08:13:08,21:08:28.97,17:22:02.17,317.12071,17.36727,18.44,18.92,0.09,-,2021-04-13 20:40:45,~0.5 mag rise in Gaia source,2021jms,nan,65.85037,-20.00384,19.2746,0.0128,panstarr,-1.0,0.0
Gaia21buz,2021-03-19 00:47:34,04:05:51.80,51:19:08.87,61.46584,51.31913,17.19,18.39,0.38,-,2021-04-12 21:53:51,slow rise of a variable red source,2021jlp,13.04,150.89385,-0.67806,19.3223,0.1016,panstarr,-1.0,0.0
Gaia21buw,2021-04-10 23:44:05,16:00:40.81,-52:06:40.79,240.17005,-52.11133,18.27,20.29,0.35,-,2021-04-12 20:30:31,~2 mag rise in red Gaia source,2021jkp,nan,329.76773,0.61428,nan,nan,nan,-1.0,0.0
Gaia21buv,2021-03-14 15:45:35,17:30:41.11,-41:59:45.53,262.67129,-41.99598,18.56,19.61,0.29,-,2021-04-12 20:29:41,~1 mag rise in Galactic plane source,2021jko,nan,347.32691,-4.40613,nan,nan,nan,-1.0,0.0
Gaia21buq,2021-04-10 11:35:45,16:38:17.04,-47:29:21.52,249.57102,-47.48931,16.68,17.17,0.13,-,2021-04-12 20:22:19,"very red galactic plane source rises by 0.5 mag, candidate microlensing event",2021jkk,10.693,337.32472,-0.34685,17.102,nan,refcat2,-1.0,0.0
Gaia21btu,2021-04-08 11:00:07,18:12:10.84,-21:18:12.67,273.04517,-21.30352,17.49,18.92,0.06,-,2021-04-10 21:22:06,"very red galactic plane source rises by 1.4 mag, candidate microlensing event",2021ize,12.694,9.6116,-1.39388,21.805,0.0,panstarr,-1.0,0.0
Gaia21btg,2021-04-07 09:49:50,16:00:27.34,-42:01:07.82,240.11392,-42.01884,15.51,15.79,0.09,-,2021-04-10 09:05:57,bright galactic plane source slowly rises by 0.3 mag,2021ius,12.305,336.38788,8.25375,15.747,nan,refcat2,-1.0,0.0
Gaia21bta,2021-04-07 17:06:03,17:46:04.23,-23:49:49.12,266.51764,-23.83031,18.17,19.83,0.2,-,2021-04-09 23:58:26,red  gal.plane source candidate microlensing event rises by 1.7 mag,2021itv,nan,4.41474,2.56967,nan,nan,nan,-1.0,0.0
Gaia21bsw,2021-04-08 05:41:20,07:27:17.72,-03:14:14.14,111.82383,-3.23726,8.27,8.54,0.04,-,2021-04-09 23:52:24,Very bright blue  gal.plane source rises by 0.3 mag,2021itq,8.952,219.93794,6.47137,10.028,nan,APASS,-1.0,0.0
Gaia21bsv,2021-04-07 21:15:42,17:57:49.98,-21:21:07.78,269.45827,-21.35216,16.4,16.74,0.04,-,2021-04-09 23:50:49,~0.4 mag rise in Gaia source,2021itn,10.028,7.93204,1.49498,21.3852,0.0808,panstarr,-1.0,0.0
Gaia21bsu,2021-04-07 09:18:16,17:44:13.40,-22:07:05.38,266.05582,-22.11816,15.14,15.68,0.03,-,2021-04-09 23:49:53,~0.5 mag rise in Gaia source,2021itm,10.122,5.65854,3.82269,18.9642,0.014,panstarr,-1.0,0.0
Gaia21bst,2021-04-07 17:13:27,17:25:03.83,-28:45:08.35,261.26597,-28.75232,18.93,19.29,0.06,-,2021-04-09 23:49:05,~0.4 mag rise in Gaia source,2021itl,nan,357.7234,3.88827,19.283,nan,refcat2,-1.0,0.0
Gaia21bss,2021-04-07 17:02:38,17:54:50.91,-21:26:06.36,268.71213,-21.4351,18.85,19.28,0.05,-,2021-04-09 23:48:18,~0.5 mag rise in Gaia source,2021itk,nan,7.51128,2.05414,nan,nan,nan,-1.0,0.0
Gaia21bsr,2021-04-07 22:20:13,19:36:31.19,08:06:17.75,294.12995,8.10493,15.81,16.45,0.17,-,2021-04-09 23:46:45,bright red galactic plane source rises slowly by 0.6mag,2021itj,7.651,45.34506,-6.19514,20.0546,0.0342,panstarr,-1.0,0.0
Gaia21bsp,2021-04-07 21:25:44,17:30:26.46,-28:09:05.90,262.61025,-28.15164,15.06,15.38,0.09,-,2021-04-09 23:44:08,bright red galactic plane source rises by 0.3 mag,2021ith,9.124,358.88001,3.23626,19.7436,0.0162,panstarr,-1.0,0.0
Gaia21bsg,2021-04-06 15:19:23,17:31:01.48,-21:24:04.43,262.75616,-21.40123,17.49,19.53,0.09,-,2021-04-08 11:09:50,"red Galactic plane source brightens by 2.0 mag, candidate microlensing event",2021iot,nan,4.63698,6.80103,21.1934,0.0363,panstarr,-1.0,0.0
Gaia21bsb,2021-04-06 16:00:32,20:07:42.78,24:15:58.18,301.92826,24.26616,17.62,18.1,0.14,-,2021-04-08 11:05:46,red galactic plane source rises by 0.5 mag,2021ioo,13.309,63.13675,-4.45485,20.3495,0.0187,panstarr,-1.0,0.0
Gaia21brx,2021-04-06 06:17:10,05:11:03.59,24:25:43.64,77.76495,24.42879,17.59,17.98,0.06,-,2021-04-07 11:14:30,0.4 mag rise in Gaia source,2021ilf,16.25,179.50966,-8.92182,18.5271,0.012,panstarr,-1.0,0.0
Gaia21brv,2021-04-06 05:16:28,08:10:01.70,-27:06:38.66,122.50708,-27.11074,18.98,19.58,0.14,-,2021-04-07 11:12:32,~0.5 mag rise in Gaia source,2021ild,nan,245.8188,3.35764,20.0918,0.0233,panstarr,-1.0,0.0
Gaia21bru,2021-04-05 17:36:38,06:59:01.81,-11:00:39.24,104.75756,-11.0109,12.07,12.18,0.04,-,2021-04-07 11:12:05,~0.2 mag rise in bright Gaia source in the Galactic plane,2021ilc,11.36,223.60018,-3.33396,12.289,0.057,APASS,-1.0,0.0
Gaia21bro,2021-04-04 23:46:44,06:17:49.89,-03:22:11.39,94.45787,-3.36983,18.09,19.47,0.15,-,2021-04-06 19:02:58,~1.7 mag rise in Gaia source near radio source AT20G J061749-032212,2021ijk,nan,212.10843,-9.01048,19.4918,0.0107,panstarr,-1.0,0.0
Gaia21brm,2021-04-05 04:07:32,19:28:34.85,22:35:05.35,292.14522,22.58482,15.14,15.52,0.02,-,2021-04-06 19:01:24,~0.35 mag rise in Gaia source in the Galactic plane,2021iji,11.996,57.14341,2.43735,16.5705,0.0044,panstarr,-1.0,0.0
Gaia21bqx,2021-03-25 11:40:27,14:31:28.86,-45:02:23.24,217.87025,-45.03979,19.25,20.28,0.15,-,2021-04-05 09:43:08,~1 mag rise in Gaia source,2021ifp,nan,320.89008,14.31515,nan,nan,nan,-1.0,0.0
Gaia21bqo,2021-04-03 15:33:17,21:05:58.51,46:23:19.57,316.49379,46.38877,15.12,15.32,0.04,-,2021-04-05 09:27:43,~0.2 mag rise in Gaia source,2021ifj,12.597,87.88016,-0.56568,15.974,0.04,APASS,-1.0,0.0
Gaia21bqn,2021-04-03 09:28:56,21:24:27.11,48:42:45.25,321.11295,48.71257,16.03,16.3,0.06,-,2021-04-05 09:25:26,gal.plane source candidate microlensing event rises by 0.3 mag,2021ifi,13.749,91.71564,-1.20093,17.0288,0.0047,panstarr,-1.0,0.0
Gaia21bqm,2021-03-16 08:08:40,04:02:03.20,27:37:15.82,60.51335,27.62106,18.77,19.86,0.48,-,2021-04-05 09:22:44,erratic rise of Gaia source coincident with radio source NVSS J040203+273714,2021ifh,nan,166.65292,-18.64935,20.5003,0.0532,panstarr,-1.0,0.0
Gaia21bqa,2021-04-01 10:29:47,11:28:38.35,-56:36:35.86,172.1598,-56.60996,18.18,18.65,0.03,-,2021-04-03 08:58:46,~0.5 mag rise in Gaia source,2021htx,nan,291.6806,4.4422,18.607,nan,refcat2,-1.0,0.0
Gaia21bpx,2021-04-01 22:49:56,09:06:37.47,-51:47:16.55,136.65614,-51.78793,15.88,16.21,0.1,-,2021-04-03 08:55:15,~0.3 mag rise in Gaia source,2021htt,12.462,271.95164,-2.98368,16.111,nan,refcat2,-1.0,0.0
Gaia21bpw,2021-04-01 19:35:15,21:48:52.10,54:38:58.60,327.2171,54.64961,15.85,16.14,0.05,-,2021-04-03 08:53:45,"bright galactic plane source rises by 0.3 mag, candidate microlensing event or Be-type outburst",2021hts,13.119,98.49415,0.68251,17.3026,0.0051,panstarr,-1.0,0.0
Gaia21bpo,2021-03-30 10:58:11,07:27:45.16,-52:29:04.92,111.93815,-52.4847,18.93,19.22,0.04,-,2021-04-01 09:59:09,~0.8 mag rise in Gaia source,2021hoa,15.201,264.20007,-16.03133,19.222,nan,refcat2,-1.0,0.0
Gaia21bpj,2021-03-30 22:19:57,12:32:25.38,-56:09:50.94,188.10576,-56.16415,16.14,16.42,0.08,-,2021-04-01 09:56:23,red galactic plane source rises by 0.3 mag over 3 years,2021hnw,12.709,300.26937,6.60926,16.384,nan,refcat2,-1.0,0.0
Gaia21bpi,2021-03-30 16:32:25,10:52:55.54,-60:36:36.47,163.23143,-60.61013,17.35,17.75,0.09,-,2021-04-01 09:56:02,~0.35 mag rise in Gaia source,2021hnv,13.814,288.88902,-1.01091,17.681,nan,refcat2,-1.0,0.0
Gaia21bpf,2021-03-30 04:31:23,10:57:46.87,-61:26:42.54,164.44529,-61.44515,18.74,19.17,0.1,-,2021-03-31 10:47:54,0.3 mag slow rise in Gaia source,2021hkq,13.663,289.78014,-1.51009,19.098,nan,refcat2,-1.0,0.0
Gaia21bpa,2021-03-30 04:38:57,09:48:01.72,-61:52:02.35,147.00715,-61.86732,16.94,17.43,0.16,-,2021-03-31 09:19:43,slow rise of a red source near the Galactic plane,2021hkj,13.764,283.03109,-6.30538,17.386,nan,refcat2,-1.0,0.0
Gaia21bop,2021-03-28 22:15:28,12:58:01.51,-57:29:42.07,194.5063,-57.49502,18.03,18.79,0.04,-,2021-03-30 11:23:27,Galactic plane source brightens by 0.8mag -- candidate microlensing event.,2021hip,nan,303.82069,5.36536,18.775,nan,refcat2,-1.0,0.0
Gaia21bon,2021-03-27 16:26:37,11:29:25.49,-67:09:33.16,172.35621,-67.15921,17.23,17.58,0.02,-,2021-03-29 21:30:50,"~0.3 mag rise in Gaia source, candidate microlensing event",2021hgj,15.349,295.08073,-5.54602,17.534,nan,refcat2,-1.0,0.0
Gaia21bom,2021-03-26 14:54:44,01:01:04.31,63:27:22.82,15.26794,63.45634,11.81,12.01,0.03,-,2021-03-29 21:29:38,~0.2 mag rise in Gaia source in the galactic plane,2021hgi,10.507,124.00802,0.60472,12.454,0.008,APASS,-1.0,0.0
Gaia21bol,2021-03-26 22:26:44,11:26:21.69,-69:21:30.71,171.59038,-69.35853,18.16,18.96,0.07,-,2021-03-29 21:25:13,"~0.8 mag rise in Gaia source, candidate microlensing event",2021hgh,nan,295.51748,-7.72067,18.937,nan,refcat2,-1.0,0.0
Gaia21bok,2021-03-28 16:22:51,12:05:03.66,-62:24:31.00,181.26523,-62.40861,13.54,13.84,0.09,-,2021-03-29 21:22:04,"bright blue galactic plane source rises by 0.3 mag, candidate Be-type outburst",2021hgg,11.988,297.59074,-0.01878,13.786,nan,refcat2,-1.0,0.0
Gaia21bnx,2021-03-26 22:16:51,12:56:23.21,-63:22:38.71,194.09669,-63.37742,18.31,18.9,0.18,-,2021-03-29 18:40:03,~0.4 mag rise in Gaia source,2021hfx,11.416,303.48632,-0.511,18.815,nan,refcat2,-1.0,0.0
Gaia21bnv,2021-03-28 04:52:27,07:08:25.89,-60:55:47.14,107.10786,-60.92976,17.98,18.27,0.05,-,2021-03-29 18:38:00,~0.3 mag rise in Gaia source,2021hfv,14.895,271.547,-21.50033,18.234,nan,refcat2,-1.0,0.0
Gaia21bnu,2021-03-26 07:04:34,01:24:51.12,61:31:53.51,21.21299,61.53153,15.61,15.82,0.03,-,2021-03-29 07:34:42,~0.2 mag rise in Gaia galactic plane source -- candidate microlensing event.,2021hfr,12.245,126.90363,-1.08228,17.0361,0.0096,panstarr,-1.0,0.0
Gaia21bnq,2021-03-27 11:06:13,15:31:22.01,-10:45:50.90,232.84171,-10.76414,18.51,18.8,0.08,-,2021-03-29 07:22:32,~0.3 mag rise in Gaia source,2021hfp,nan,354.02548,35.78787,19.1591,0.0094,panstarr,-1.0,0.0
Gaia21bnp,2021-03-25 10:14:00,13:28:31.08,-64:48:54.68,202.1295,-64.81519,15.62,15.9,0.04,-,2021-03-29 07:12:12,"~0.3 mag rise in Gaia source, previous events seen",2021hfo,14.097,306.86556,-2.22702,15.857,nan,refcat2,-1.0,0.0
Gaia21bno,2021-03-26 03:59:18,14:16:37.72,-49:12:36.36,214.15715,-49.2101,16.64,17.03,0.1,AGN,2021-03-27 20:53:46,"~0.3 mag rise in known AGN, coincident with bright WISE and GALEX sources",2021hea,12.985,316.93652,11.33122,nan,nan,APASS,-1.0,0.0
Gaia21bnm,2021-03-25 08:22:07,02:43:37.41,37:47:08.23,40.90586,37.78562,18.82,19.55,0.06,-,2021-03-27 20:49:32,~0.8 mag rise in Gaia source,2021dni,15.722,146.21927,-19.9611,19.2585,0.0179,panstarr,-1.0,0.0
Gaia21bnf,2021-03-24 22:10:01,13:53:22.79,-62:09:33.98,208.34496,-62.15944,14.73,14.96,0.03,-,2021-03-26 10:45:56,"bright galactic plane source rises by 0.2 mag, candidate microlensing event or Be-type outburst",2021hdf,12.281,310.09479,-0.15221,14.934,nan,refcat2,-1.0,0.0
Gaia21bmo,2021-03-23 22:30:40,10:04:53.94,-81:59:41.35,151.22473,-81.99482,18.03,18.7,0.16,-,2021-03-25 09:34:25,Gaia source rises by 0.8 mag in ~3 years,2021hbm,15.05,297.24298,-21.03307,18.618,nan,refcat2,-1.0,0.0
Gaia21bmd,2021-03-21 04:00:52,15:27:36.65,-59:13:02.32,231.90271,-59.21731,12.74,13.07,0.06,-,2021-03-23 14:03:03,"bright blue gal.plane source rises by 0.3 mag, previous outbursts seen",2021gyf,11.684,321.75268,-2.17681,13.448,0.005,APASS,-1.0,0.0
Gaia21bmb,2021-03-22 04:01:48,15:02:12.56,-58:54:40.36,225.55232,-58.91121,15.47,15.83,0.06,-,2021-03-23 13:54:31,bright very red galactic plane source rises by 0.4 mag,2021gye,5.755,319.12704,-0.21399,15.89,nan,refcat2,-1.0,0.0
Gaia21blz,2021-03-19 12:37:46,03:38:54.26,43:08:11.69,54.72607,43.13658,8.38,8.62,0.03,-,2021-03-23 13:51:36,bright blue  gal.plane source rises by 0.2 mag,2021gyc,8.333,152.56043,-9.89654,nan,nan,APASS,-1.0,0.0
Gaia21bly,2021-03-19 06:47:33,03:59:53.42,51:31:46.38,59.9726,51.52955,14.9,15.21,0.04,-,2021-03-23 13:50:39,~0.3 mag rise in bright Gaia source,2021gyb,10.469,150.05538,-1.13451,16.844,0.097,APASS,-1.0,0.0
Gaia21blx,2021-03-22 10:05:03,14:53:15.42,-62:01:30.61,223.31427,-62.02517,16.64,17.91,0.07,-,2021-03-23 10:15:13,red gal.plane source candidate microlensing event rises by 1.3 mag,2021gxs,14.412,316.69911,-2.45443,17.893,nan,refcat2,-1.0,0.0
Gaia21blv,2021-03-22 09:56:42,14:59:30.06,-52:58:57.65,224.87526,-52.98268,18.76,20.41,0.2,-,2021-03-23 10:11:37,"faint Gaia source near the Galactic plane rises by ~1.7 mag, candidate microlensing event",2021gxo,nan,321.62446,5.17762,nan,nan,nan,-1.0,0.0
Gaia21blp,2021-03-21 22:02:30,15:07:15.66,-60:02:09.13,226.81526,-60.03587,11.47,11.73,0.05,-,2021-03-23 09:57:39,"bright blue galactic plane source rises by 0.3 mag, candidate Be-type outburst",2021gxc,10.146,319.13665,-1.50865,11.947,0.081,APASS,-1.0,0.0
Gaia21blh,2021-03-11 11:23:20,02:53:55.58,-23:43:22.91,43.48157,-23.72303,18.37,20.06,0.45,-,2021-03-22 10:40:23,~2 mag rise in Gaia source,2021gus,nan,212.78674,-62.20346,20.4091,0.1267,panstarr,-1.0,0.0
Gaia21blg,2021-03-21 03:56:48,15:21:54.52,-54:46:53.76,230.47715,-54.7816,14.99,16.31,0.03,-,2021-03-22 10:39:49,~1.3 mag rise in Gaia source,2021gur,10.406,323.55462,1.94997,16.309,nan,refcat2,-1.0,0.0
Gaia21ble,2021-03-21 16:01:45,15:11:44.04,-59:33:08.89,227.93352,-59.55247,14.8,15.04,0.04,-,2021-03-22 10:38:38,~0.3 mag rise in Gaia source,2021guo,11.533,319.86649,-1.37507,14.998,nan,refcat2,-1.0,0.0
Gaia21bld,2021-03-21 15:59:44,15:12:34.77,-57:21:04.46,228.14488,-57.35124,14.44,14.68,0.05,-,2021-03-22 10:37:36,~0.25 mag rise in Gaia source,2021gun,11.534,321.0903,0.458,14.638,nan,refcat2,-1.0,0.0
Gaia21blc,2021-03-20 21:17:47,15:04:33.42,-13:37:12.94,226.13925,-13.62026,18.63,19.0,0.09,-,2021-03-22 10:36:22,~0.4 mag slow rise in Gaia source,2021gul,nan,345.52666,38.00495,18.9526,0.0071,panstarr,-1.0,0.0
Gaia21bkv,2021-03-19 03:49:47,15:57:01.35,-48:50:07.22,239.25562,-48.83534,18.41,19.86,0.36,-,2021-03-21 15:26:54,~1.5 mag rise in Gaia Galactic plane source,2021gsw,nan,331.45544,3.48241,nan,nan,nan,-1.0,0.0
Gaia21bkr,2021-03-19 12:26:03,03:26:19.70,32:34:11.46,51.5821,32.56985,18.7,19.91,0.3,-,2021-03-21 15:21:55,~0.5 mag rise in Gaia source,2020tnj,nan,157.02249,-19.85789,20.3016,0.0542,panstarr,-1.0,0.0
Gaia21bkq,2021-03-19 05:14:43,02:25:52.88,-35:49:31.94,36.47034,-35.82554,18.69,19.5,0.16,-,2021-03-21 15:17:22,~0.4 mag rise in Gaia source,2021gsu,nan,242.22192,-68.1395,19.31,nan,refcat2,-1.0,0.0
Gaia21bkf,2021-03-18 05:28:18,02:38:32.27,-21:04:56.68,39.63447,-21.08241,18.18,18.48,0.07,-,2021-03-19 19:38:15,~0.3 mag rise in Gaia source,2021ggt,nan,204.84732,-64.8776,18.57,0.005,panstarr,-1.0,0.0
Gaia21bjw,2021-03-17 10:13:08,19:01:08.79,-67:53:27.06,285.28664,-67.89085,17.3,17.56,0.05,-,2021-03-18 21:25:38,"~0.2 mag rise in Gaia, WISE and GALEX source",2021gee,15.552,327.63937,-25.88971,17.502,nan,refcat2,-1.0,0.0
Gaia21bjv,2021-03-17 09:06:07,15:11:32.78,-05:09:57.60,227.88657,-5.166,18.17,18.47,0.07,-,2021-03-18 21:24:22,~0.3 mag rise in Gaia source,2021ged,nan,354.5969,43.21801,18.7954,0.0299,panstarr,-1.0,0.0
Gaia21bjt,2021-03-17 14:58:11,14:58:50.11,02:49:31.48,224.70878,2.82541,18.74,19.12,0.1,-,2021-03-18 21:22:10,~0.3 mag rise in Gaia source,2021geb,nan,359.87673,51.03664,18.9832,0.0144,panstarr,-1.0,0.0
Gaia21bjk,2021-03-15 14:39:24,14:36:43.44,18:58:37.74,219.181,18.97715,19.01,19.47,0.12,-,2021-03-17 13:51:31,"~0.5 mag rise in Gaia, WISE and GALEX source",2021fxh,nan,19.89659,64.50713,19.5324,0.0188,panstarr,-1.0,0.0
Gaia21biw,2021-03-14 13:27:15,03:07:38.02,-07:57:08.53,46.9084,-7.95237,18.85,19.48,0.1,-,2021-03-16 13:25:01,~0.8 mag rise in Gaia source,2021fst,nan,188.57417,-52.50461,19.8524,0.0129,panstarr,-1.0,0.0
Gaia21bin,2021-03-13 09:37:30,17:26:58.70,-33:24:28.12,261.74458,-33.40781,15.93,16.31,0.1,-,2021-03-16 10:16:20,"Galactic plane source brightens by 0.4 mag, candidate microlensing or Be-type event",2021fqf,11.769,354.08578,0.94962,16.241,nan,refcat2,-1.0,0.0
Gaia21bik,2021-03-12 15:42:25,18:00:52.88,-36:04:11.60,270.22032,-36.06989,17.58,19.75,0.03,-,2021-03-14 21:34:52,"blue galactic plane source rises by 2.2 mag, candidate microlensing event",2021fnq,nan,355.45723,-6.37662,nan,nan,nan,-1.0,0.0
Gaia21big,2021-03-13 01:08:38,02:37:20.86,-23:17:03.84,39.3369,-23.2844,18.48,18.98,0.14,-,2021-03-14 21:32:04,"~0.5 mag rise in Gaia, WISE and GALEX source",2021fnn,nan,209.70285,-65.7836,18.8956,0.0161,panstarr,-1.0,0.0
Gaia21bif,2021-03-12 22:05:10,19:50:24.65,-51:14:15.68,297.60272,-51.23769,18.48,18.93,0.11,-,2021-03-14 21:31:26,"~0.4 mag rise in Gaia, WISE and GALEX source",2021fnm,nan,347.19229,-29.82532,18.872,nan,refcat2,-1.0,0.0
Gaia21bid,2021-03-12 19:02:33,07:06:24.84,46:35:37.32,106.60349,46.5937,18.52,18.93,0.1,-,2021-03-14 21:29:51,"~0.4 mag rise in Gaia, WISE and GALEX source",2021fnk,15.8,170.53265,21.79006,19.0274,0.0111,panstarr,-1.0,0.0
Gaia21bia,2021-02-17 05:22:27,17:52:58.21,-29:00:04.25,268.24256,-29.00118,18.2,19.86,0.12,-,2021-03-14 17:09:33,~2.5 mag rise in Galactic plane source,2021fnh,nan,0.77137,-1.41204,nan,nan,nan,-1.0,0.0
Gaia21bhw,2021-03-11 09:25:43,17:25:12.81,-20:40:48.86,261.30336,-20.68024,17.48,19.48,0.41,-,2021-03-14 17:03:36,almost 2 mag rise in Gaia source,2021fne,nan,4.50327,8.33099,21.0179,0.3111,panstarr,-1.0,0.0
Gaia21bhp,2021-03-11 03:38:46,18:15:32.58,-30:35:16.76,273.88574,-30.58799,17.67,17.96,0.03,-,2021-03-13 11:31:33,~0.3 mag rise in Gaia source near Galactic plane,2021fml,nan,1.77429,-6.46105,18.8434,0.0032,panstarr,-1.0,0.0
Gaia21bhf,2021-03-09 21:55:28,19:45:19.44,-40:05:56.36,296.33102,-40.09899,16.73,18.83,0.73,-,2021-03-11 14:17:56,"3 mag rise in Gaia source with coincident radio, WISE and GALEX sources",2021fjs,nan,359.45195,-26.89136,19.339,nan,refcat2,-1.0,0.0
Gaia21bhe,2021-03-08 15:24:54,18:11:30.60,-15:45:24.26,272.87752,-15.75674,16.92,18.36,0.1,-,2021-03-11 14:17:32,1 mag rise in red Gaia source,2021fjr,nan,14.39925,1.41236,18.9411,0.0407,panstarr,-1.0,0.0
Gaia21bhd,2021-03-09 22:04:29,20:30:52.21,-44:51:33.73,307.71755,-44.85937,18.15,18.5,0.07,-,2021-03-11 14:17:08,"~0.3 mag rise in Gaia, WISE and GALEX source",2021fjq,nan,355.52299,-35.93255,18.374,nan,refcat2,-1.0,0.0
Gaia21bhc,2021-03-08 17:59:01,04:57:30.67,-04:38:38.47,74.37781,-4.64402,18.6,19.13,0.1,-,2021-03-11 14:16:48,~0.4 mag rise in Gaia source,2021fjp,nan,203.55471,-27.38327,19.2237,0.0136,panstarr,-1.0,0.0
Gaia21bha,2021-03-09 15:39:57,18:45:54.50,-28:57:34.49,281.4771,-28.95958,14.11,14.39,0.08,-,2021-03-10 11:28:35,bright near gal.plane source candidate microlensing event or Be-type outburst,2021fgp,11.903,6.19958,-11.65382,14.9182,0.0238,panstarr,-1.0,0.0
Gaia21bfr,2021-03-05 15:21:40,18:46:08.30,-10:12:26.42,281.53458,-10.20734,15.8,17.01,0.04,-,2021-03-07 10:33:03,"Galactic plane source rises by 1.2 mag, candidate microlensing event",2021fbo,13.418,23.23707,-3.47155,18.5355,0.008,panstarr,-1.0,0.0
Gaia21bfa,2021-03-04 02:09:56,06:48:58.14,04:25:12.61,102.24224,4.42017,18.53,,,-,2021-03-05 09:50:43,blue hostless Galactic plane transient on the rise,2021elv,nan,208.71614,1.466,19.2409,0.0248,panstarr,-1.0,0.0
Gaia21bek,2021-03-03 00:10:51,06:37:56.65,-06:48:30.02,99.48605,-6.80834,14.95,15.23,0.08,-,2021-03-04 10:20:21,bright galactic plane source rises by 0.3 mag over ~2 years,2021ein,12.094,217.48092,-6.08806,16.305,0.0109,panstarr,-1.0,0.0
Gaia21bec,2021-03-01 16:15:25,21:48:10.18,-56:49:14.56,327.04242,-56.82071,17.34,17.67,0.07,-,2021-03-03 22:57:16,"~0.3 mag rise in Gaia, WISE and GALEX source",2021eig,16.638,337.43434,-46.14499,17.591,nan,refcat2,-1.0,0.0
Gaia21bde,2021-02-27 02:54:15,19:05:12.74,14:51:35.93,286.30308,14.85998,18.04,18.46,0.05,-,2021-03-01 16:49:34,~0.4 mag rise in Gaia source,2021dzr,14.716,47.72102,3.74238,20.1212,0.0282,panstarr,-1.0,0.0
Gaia21bdd,2021-02-25 18:27:03,07:29:19.31,08:15:01.40,112.33044,8.25039,17.82,19.12,0.54,-,2021-03-01 15:27:58,~2 mag rise in Gaia source,2021dzq,nan,209.79733,12.14364,21.8652,0.0646,panstarr,-1.0,0.0
Gaia21bda,2021-02-26 01:33:10,09:33:30.76,74:02:54.28,143.37818,74.04841,17.82,18.11,0.06,-,2021-03-01 15:23:16,~0.2 mag rise in Gaia source,2021dzo,nan,138.03178,36.67932,18.1048,0.0082,panstarr,-1.0,0.0
Gaia21bcz,2021-02-26 11:33:10,06:45:05.22,-41:53:12.52,101.27174,-41.88681,18.27,18.6,0.08,-,2021-03-01 15:21:25,~0.3 mag slow rise in Gaia source,2021dzn,nan,251.09355,-18.83239,18.5,nan,refcat2,-1.0,0.0
Gaia21bcd,2021-02-25 03:52:15,19:43:35.66,-45:00:56.92,295.8986,-45.01581,18.87,19.38,0.12,-,2021-02-28 08:43:40,"0.5 mag rise in Gaia, WISE and GALEX source",2021dwv,nan,353.97823,-27.67548,19.294,nan,refcat2,-1.0,0.0
Gaia21bcc,2021-02-24 23:08:11,06:52:39.17,-64:30:17.32,103.1632,-64.50481,18.65,19.17,0.15,-,2021-02-28 08:43:17,"0.5 mag rise in Gaia, WISE and GALEX source",2021dwu,nan,274.77987,-24.17657,19.088,nan,refcat2,-1.0,0.0
