#Name,Date,Ra,Dec,RaDeg,DecDeg,AlertMag,HistoricMag,HistoricStdDev,Class,PubDate,Comment,TNSid,K_s,lDeg,bDeg,base_gmag,e_gmag,Catalog,Can,Stat
Gaia21cmh,2021-05-22 15:52:16,03:23:04.60,-52:16:45.66,50.76917,-52.27935,18.73,19.74,0.2,-,2021-05-23 18:16:05,~0.9 mag rise in Gaia source,2021ncr,nan,265.08938,-52.2125,nan,nan,nan,-1.0,0.0
Gaia21cln,2021-05-20 20:48:10,20:46:32.95,-34:13:18.12,311.6373,-34.2217,18.83,19.49,0.14,-,2021-05-22 10:59:04,~0.6 mag rise in Gaia source,2021mxf,nan,9.174,-37.64142,nan,nan,nan,-1.0,0.0
Gaia21ckj,2021-05-18 02:05:29,18:53:23.02,-01:14:06.47,283.3459,-1.23513,17.46,18.67,0.07,-,2021-05-19 14:26:18,"red Gaia source in the Galactic plane brightens by 1.2 mag, candidate microlensing event",2021msh,13.522,32.05434,-0.99601,21.7088,0.1006,panstarr,-1.0,0.0
Gaia21cju,2021-05-17 02:50:01,21:51:21.90,-27:42:23.08,327.84126,-27.70641,17.15,19.09,0.23,-,2021-05-18 19:11:25,~2 mag rise in Blazar candidate,2021mre,14.385,21.34279,-50.26315,19.2315,0.0699,panstarr,-1.0,0.0
Gaia21cjf,2021-05-15 19:55:10,18:37:26.57,06:44:59.14,279.36069,6.74976,16.36,16.77,0.11,-,2021-05-17 08:54:20,Galactic plane source rises slowly by 0.4 mag,2021mou,12.824,37.37206,6.17298,18.1659,0.0077,panstarr,-1.0,0.0
Gaia21cjc,2021-05-14 08:01:43,19:16:38.74,05:19:17.33,289.16141,5.32148,18.55,20.49,0.08,-,2021-05-16 17:23:52,"red gal.plane source brightens by 1.9 mag, candidate microlensing event",2021mnb,nan,40.55052,-3.15179,22.0928,0.0125,panstarr,-1.0,0.0
Gaia21ciy,2021-05-14 08:34:41,21:24:33.41,-12:23:18.17,321.13922,-12.38838,18.11,18.39,0.04,-,2021-05-16 17:23:23,0.3 mag rise in Gaia source,2021mmx,nan,39.25579,-39.5192,18.6096,0.0111,panstarr,-1.0,0.0
Gaia21civ,2021-05-14 20:53:47,22:39:47.61,-22:29:34.66,339.94838,-22.49296,17.74,18.18,0.14,-,2021-05-16 17:23:04,long-term 0.5 mag rise in Gaia source,2020yxi,15.451,34.43828,-59.85586,17.8437,0.0081,panstarr,-1.0,0.0
Gaia21ciu,2021-05-15 02:50:30,22:22:08.28,-21:46:14.88,335.5345,-21.7708,18.84,19.39,0.13,-,2021-05-16 17:22:54,0.4 mag rise in Gaia source,2021mmv,15.148,33.60836,-55.72764,19.2609,0.0252,panstarr,-1.0,0.0
Gaia21cit,2021-05-15 02:49:06,22:15:32.57,-21:20:32.21,333.88571,-21.34228,18.54,19.37,0.16,-,2021-05-16 17:22:13,0.8 mag rise in Gaia source,2021mmu,nan,33.54668,-54.13583,19.4099,0.0234,panstarr,-1.0,0.0
Gaia21cij,2021-05-13 17:16:07,08:33:34.57,02:34:12.36,128.39405,2.5701,18.01,18.49,0.1,-,2021-05-15 10:26:21,Gaia and UV source rises slowly by 0.7 mag,2021mhy,15.481,222.77798,23.80941,18.7623,0.0279,panstarr,-1.0,0.0
Gaia21cib,2021-05-13 02:44:05,22:20:18.13,-13:08:13.31,335.07555,-13.13703,18.88,19.71,0.17,-,2021-05-14 09:35:11,~0.8 mag rise in Gaia and GALEX source,2021mfk,nan,46.92343,-52.05579,19.3907,0.009,panstarr,-1.0,0.0
Gaia21cia,2021-05-12 23:23:05,09:02:32.40,02:54:23.47,135.63501,2.90652,18.61,19.02,0.09,-,2021-05-14 09:35:04,Gaia source rises by 0.4 mag over 2 years,2021mfj,nan,226.41919,30.28463,19.5254,0.0153,panstarr,-1.0,0.0
Gaia21chx,2021-05-12 05:31:13,09:35:06.37,03:45:15.52,143.77656,3.75431,18.52,19.52,0.29,-,2021-05-13 13:26:16,"rise in slowly variable Gaia, WISE and GALEX source",2021mew,nan,230.56946,37.69935,18.6218,0.0095,panstarr,-1.0,0.0
Gaia21chq,2021-05-11 01:50:18,19:07:51.99,18:37:21.14,286.96661,18.62254,19.11,20.08,0.21,-,2021-05-12 10:30:36,Galactic plane source brightens by 1magntitude -- candidate microlensing event.,2021mdg,nan,51.37126,4.88783,21.13,0.0218,panstarr,-1.0,0.0
Gaia21chm,2021-05-10 02:12:41,20:54:29.19,11:14:30.98,313.62162,11.24194,18.79,20.01,0.4,-,2021-05-11 18:26:10,Gaia and UV source rises by 2 mag in 5.5 years,2021mav,nan,58.44603,-20.9515,20.8605,0.0404,panstarr,-1.0,0.0
Gaia21cgy,2021-05-09 07:57:01,19:58:16.02,20:45:35.71,299.56675,20.75992,18.79,19.18,0.04,-,2021-05-10 12:51:42,~0.4 mag rise in Gaia source,2021lwj,nan,58.99502,-4.45172,19.9657,0.0158,panstarr,-1.0,0.0
Gaia21cgt,2021-05-08 07:52:32,19:52:39.03,26:11:34.66,298.16264,26.19296,14.91,15.23,0.02,-,2021-05-09 17:16:21,bright  gal.plane source rises by 0.3 mag,2021lun,10.851,62.98801,-0.54441,17.0531,0.0044,panstarr,-1.0,0.0
Gaia21cgn,2021-05-08 23:54:20,04:51:56.71,-31:36:15.95,72.98631,-31.60443,18.95,20.21,0.28,-,2021-05-09 17:10:52,1 mag rise in Gaia source,2021luk,15.425,233.21686,-38.06103,18.482,0.0,panstarr,-1.0,0.0
Gaia21cgm,2021-05-08 14:22:56,21:54:26.38,09:14:07.19,328.6099,9.23533,18.1,18.56,0.09,-,2021-05-09 17:09:56,0.5 mag rise in Gaia source,2021luj,nan,66.96985,-33.78378,18.7566,0.0113,panstarr,-1.0,0.0
Gaia21cgk,2021-05-08 02:24:31,13:52:34.35,24:43:52.93,208.14314,24.73137,18.88,19.36,0.09,-,2021-05-09 12:50:09,~0.5 mag rise in Gaia source,2021lue,nan,26.45674,76.05693,19.1382,0.0054,panstarr,-1.0,0.0
Gaia21cfs,2021-05-06 15:22:18,01:41:03.07,-24:52:41.66,25.26278,-24.87824,18.48,19.32,0.17,-,2021-05-08 14:46:39,~0.6 mag rise in Gaia source,2021lqn,nan,204.29308,-78.63281,19.9802,0.0028,panstarr,-1.0,0.0
Gaia21cfq,2021-05-06 01:45:26,19:49:43.86,35:58:53.54,297.43276,35.98154,16.25,16.43,0.06,-,2021-05-07 08:47:07,gal.plane source candidate microlensing event rises by 0.2 mag,2021lnc,13.864,71.10653,4.97324,17.2208,0.0187,panstarr,-1.0,0.0
Gaia21cfp,2021-05-05 16:55:16,08:35:17.59,-33:14:38.87,128.8233,-33.24413,17.76,18.25,0.11,-,2021-05-07 08:46:53,blue  gal.plane source candidate microlensing event or Be-type outburst rises by 0.5 mag,2021lnb,14.094,253.98461,4.35286,18.12,nan,refcat2,-1.0,0.0
Gaia21cfh,2021-05-04 16:46:21,00:29:17.41,-13:10:51.67,7.32256,-13.18102,17.2,17.6,0.08,-,2021-05-06 11:28:54,0.3 mag rise in Gaia and UV source,2021lke,15.392,101.46981,-75.12207,17.7851,0.0254,panstarr,-1.0,0.0
Gaia21cfg,2021-05-04 21:15:37,01:16:41.89,-23:51:34.02,19.17454,-23.85945,17.3,17.74,0.14,-,2021-05-06 11:28:27,0.5 mag slow rise in Gaia and UV source,2020xqp,15.089,184.48864,-83.43067,17.888,0.0098,panstarr,-1.0,0.0
Gaia21cff,2021-05-05 07:28:58,18:28:14.55,43:50:02.69,277.06062,43.83408,17.78,18.06,0.07,-,2021-05-06 11:21:26,~0.3 mag rise in Gaia and UV source,2021lkd,nan,72.02826,22.37496,18.032,0.0059,panstarr,-1.0,0.0
Gaia21cfd,2021-05-05 01:48:08,20:20:25.75,37:57:53.50,305.10731,37.96486,16.96,18.18,0.3,-,2021-05-06 11:12:53,1.5 mag rise in erratic Gaia source,2021lkb,11.406,76.06422,0.85114,19.2488,0.0179,panstarr,-1.0,0.0
Gaia21ceo,2021-05-02 17:06:43,09:49:54.60,-34:03:47.02,147.47751,-34.06306,17.83,19.63,0.55,-,2021-05-04 11:27:13,2 mag rise in erratic Gaia source,2021lbd,nan,265.26307,15.2157,nan,nan,nan,-1.0,0.0
Gaia21cen,2021-05-03 10:41:29,08:04:20.63,-46:24:50.36,121.08596,-46.41399,18.26,18.84,0.07,-,2021-05-04 11:26:36,~0.6 mag rise in candidate YSO,2021lbc,14.288,261.53954,-7.95357,18.874,nan,refcat2,-1.0,0.0
Gaia21ceg,2021-05-02 18:26:51,08:07:22.62,-48:51:17.53,121.84427,-48.85487,18.39,18.88,0.06,-,2021-05-04 11:10:35,~0.5 mag rise in red Gaia source,2021lay,14.517,263.91287,-8.79363,18.903,nan,refcat2,-1.0,0.0
Gaia21cef,2021-05-01 21:40:39,02:25:26.11,-47:06:35.35,36.35879,-47.10982,18.12,18.39,0.06,-,2021-05-03 11:56:59,~0.3 mag rise in Gaia source,2021kzr,nan,266.48474,-62.81889,18.309,nan,refcat2,-1.0,0.0
Gaia21ceb,2021-05-01 19:45:11,21:03:35.76,46:32:51.94,315.899,46.54776,18.47,19.35,0.1,-,2021-05-03 11:27:21,~0.8 mag rise in Gaia source,2021kzn,15.22,87.72444,-0.15476,21.52,0.0611,panstarr,-1.0,0.0
Gaia21cea,2021-05-01 19:00:33,15:34:27.31,54:53:14.17,233.61381,54.88727,17.09,17.81,0.05,-,2021-05-03 11:27:08,~0.8 mag rise in red SDSS star,2021kzm,13.482,87.58221,49.53339,20.2373,0.0393,panstarr,-1.0,0.0
